Jacquelyn,HCAvoltest01,1,index,"2009-07-24 10:00:19"
Collier,HCAertest01,13576,index,"2009-07-24 09:04:47"
Collier,HCAertest01,13576,applyERSIP,"2009-07-24 09:04:47"
Collier,HCAertest01,13576,index,"2009-07-24 08:59:19"
Collier,HCAertest01,13576,index,"2009-07-24 08:59:02"
Collier,HCAertest01,13576,applyERSIP,"2009-07-24 08:59:02"
Collier,HCAertest01,13576,applyERSIP,"2009-07-24 08:58:42"
Collier,HCAertest01,13576,index,"2009-07-24 08:58:41"
Collier,HCAertest01,13576,apply,"2009-07-24 08:58:41"
